epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,233.705,1.18036,0.8448,0.98187,0.79103,0.71019,0.74715,0.46183,1.1281,0.73931,0.98001,0.000553586,0.000553586,0.000553586
2,467.984,1.14915,0.68554,0.96812,0.80275,0.69443,0.75763,0.45865,1.1503,0.71052,0.98452,0.00108729,0.00108729,0.00108729
3,694.078,1.13245,0.67638,0.96321,0.78335,0.69926,0.7539,0.462,1.16178,0.71314,0.9703,0.00159899,0.00159899,0.00159899
4,922.322,1.10495,0.65438,0.95733,0.8231,0.71523,0.77739,0.4864,1.09543,0.65467,0.9708,0.00156798,0.00156798,0.00156798
5,1148.65,1.0748,0.63123,0.9458,0.80427,0.70687,0.76747,0.50294,1.06183,0.64201,0.96088,0.00153497,0.00153497,0.00153497
6,1376.84,1.04495,0.61978,0.93959,0.82728,0.70382,0.77993,0.50314,1.05216,0.64724,0.9575,0.00150197,0.00150197,0.00150197
7,1607.04,1.02818,0.60926,0.93692,0.81209,0.71647,0.78937,0.51383,1.03811,0.6218,0.95543,0.00146896,0.00146896,0.00146896
8,1832.96,1.01417,0.59569,0.93395,0.80724,0.70735,0.77677,0.4885,1.05959,0.65363,0.9585,0.00143595,0.00143595,0.00143595
9,2058.6,0.99728,0.5849,0.92685,0.79126,0.73623,0.77874,0.50949,1.03245,0.62427,0.95503,0.00140295,0.00140295,0.00140295
10,2283.74,0.98034,0.58043,0.92628,0.79199,0.7115,0.77746,0.51535,0.99962,0.61048,0.94013,0.00136994,0.00136994,0.00136994
11,2509.78,0.96813,0.56803,0.91971,0.81625,0.72048,0.78089,0.51495,0.99626,0.59964,0.94123,0.00133693,0.00133693,0.00133693
12,2734.9,0.95721,0.56117,0.91654,0.81936,0.72253,0.78923,0.52455,1.00401,0.60466,0.944,0.00130393,0.00130393,0.00130393
13,2960.8,0.9539,0.55981,0.91835,0.79017,0.72178,0.78397,0.52441,0.98816,0.59018,0.93877,0.00127092,0.00127092,0.00127092
14,3186.39,0.94283,0.54909,0.91348,0.80738,0.71394,0.77697,0.51454,1.01172,0.60609,0.94193,0.00123791,0.00123791,0.00123791
15,3411.22,0.93234,0.54404,0.91304,0.82848,0.72323,0.79918,0.53033,0.99007,0.59318,0.93793,0.00120491,0.00120491,0.00120491
16,3637.48,0.92842,0.54148,0.90808,0.80977,0.7331,0.79581,0.53774,0.95568,0.58586,0.93056,0.0011719,0.0011719,0.0011719
17,3863.38,0.91071,0.52817,0.90582,0.80251,0.72454,0.78579,0.53451,0.97671,0.58462,0.94422,0.00113889,0.00113889,0.00113889
18,4088.8,0.90764,0.52622,0.90563,0.80058,0.72776,0.78697,0.52852,0.98067,0.59507,0.94082,0.00110589,0.00110589,0.00110589
19,4314.2,0.89779,0.52117,0.90264,0.81718,0.71511,0.78082,0.52201,0.97266,0.5965,0.93782,0.00107288,0.00107288,0.00107288
20,4539.6,0.89438,0.5216,0.90164,0.80664,0.72144,0.79003,0.52428,0.98717,0.59968,0.94281,0.00103987,0.00103987,0.00103987
21,4764.85,0.882,0.50831,0.89812,0.81357,0.72953,0.79057,0.53461,0.96931,0.57786,0.93871,0.00100687,0.00100687,0.00100687
22,4990.47,0.87654,0.50299,0.89588,0.81304,0.7297,0.79599,0.54205,0.96519,0.57886,0.94208,0.000973861,0.000973861,0.000973861
23,5221.62,0.86561,0.4967,0.89385,0.79537,0.72301,0.78346,0.53561,0.95699,0.58914,0.93556,0.000940855,0.000940855,0.000940855
24,5447.32,0.86259,0.49665,0.89175,0.82724,0.71711,0.79412,0.53453,0.96827,0.58133,0.93795,0.000907848,0.000907848,0.000907848
25,5670.84,0.85828,0.49337,0.88927,0.8202,0.72415,0.78854,0.53389,0.97108,0.58847,0.94094,0.000874842,0.000874842,0.000874842
26,5893.42,0.84878,0.48733,0.88777,0.80524,0.73816,0.79342,0.53939,0.95905,0.5741,0.9381,0.000841835,0.000841835,0.000841835
27,6114.78,0.84643,0.48646,0.88791,0.82101,0.71649,0.79372,0.5399,0.97121,0.57715,0.9476,0.000808828,0.000808828,0.000808828
28,6337.73,0.84452,0.48466,0.88944,0.81629,0.71919,0.78779,0.53339,0.97744,0.58324,0.95233,0.000775822,0.000775822,0.000775822
29,6559.54,0.82508,0.47197,0.88164,0.81599,0.7239,0.78836,0.53775,0.97379,0.5789,0.94644,0.000742815,0.000742815,0.000742815
30,6782.93,0.82418,0.47,0.8829,0.79635,0.72948,0.77734,0.52881,0.96721,0.60168,0.94832,0.000709809,0.000709809,0.000709809
31,7004.61,0.81135,0.46081,0.87834,0.8005,0.73607,0.78579,0.53567,0.96018,0.58352,0.94715,0.000676802,0.000676802,0.000676802
32,7227.97,0.8083,0.45953,0.87725,0.78745,0.73163,0.77486,0.52858,0.96133,0.58005,0.94877,0.000643795,0.000643795,0.000643795
33,7450.13,0.80112,0.45792,0.87608,0.81013,0.73289,0.77714,0.53113,0.96319,0.58251,0.95,0.000610789,0.000610789,0.000610789
34,7673.25,0.78678,0.44395,0.87148,0.79796,0.74087,0.78556,0.53834,0.95609,0.58143,0.94424,0.000577782,0.000577782,0.000577782
35,7894.9,0.78496,0.44448,0.87123,0.80075,0.7326,0.7814,0.537,0.95064,0.57869,0.94442,0.000544776,0.000544776,0.000544776
36,8118.45,0.78107,0.44085,0.87114,0.78937,0.72228,0.77678,0.53543,0.95689,0.59392,0.9512,0.000511769,0.000511769,0.000511769
